(Japanese) archery	kyuudou
(Japanese) archery	kyuujutsu
(Japanese) bantam	chabo
(Japanese) empress	kougou
(Japanese) hors d'oeuvres	tsukidashi
(Japanese) nightingale	uguisu
(Japanese) On reading	waon
(Japanese) plum	sumomo
(Japanese) poet	kajin
(Japanese) restaurant	ryoutei
(Japanese) system of lifetime employment	shuushinkoyousei
(judicial) precedent	hanrei
(juridical) foundation	zaidanhoujin
(kept) overnight	yoigoshi
(key to) solution	kaihou
(kick and) struggle (vs)	jitabata
(kinds of) meat	nikurui
(lack of) enlightenment or civilization	moumai
(last day of) Bon lantern festival	chuugen
(lateral) branch	wakare
(laugh) broadly	kouzento
(laugh) loudly	kouzento
(lawsuit) costs	soshouhiyou
(legal) appeal	kouso
(legal) process	tetsudzuki
(legal) separation	bekkyo
(lit) present location	genzaichi
(lit. dog & monkey)	ken'ennonaka
(lit.) testing ones arm	udedameshi
(lit: strike one)	batsuichi
(literary) sharp sword	kaitou
(literary) star	myoujou
(logical) false	gi
(logical) true	sei
(look of) stores and houses on street	machinami
(love for) humanity	hakuai
(lover's) date	aibiki
(loving) words (id)	kudokimonku
(luxury) apartment	okushon
(major) emphasis	rikisetsu
(male) coming of age ceremony	kakan
(mammary) nipple	nyuutou
(man of) great talent	isai
(man) in question	kudanno
(manufacturing) fixtures	wa-kutoritsukedai
(manufacturing) industry	kougyou
(market) weakness	teichou
(marriage) engagement	naiyaku
(marriage) proposal (vs)	puropo-zu
(meals) for two	futarimae
(measuring) ruler	jougi
(medical) clinic	shinryoujo
(medical) decoction	sen'yaku
(medical) decoction	senjigusuri
(medical) patient	kanjasama
(member of) political party	seitou
(mental) training	shuuyou
(Mercedes) Benz	bentsu
(metal) bar	nobebou
(metal) cap	kuchigane
(metal) washer	zagane
(method of) deduction	en'ekihou
(mil) drill	kyouren
(mil) position	kyoten
(military) encampment	jinchi
(military) formation	jinkei
(military) intelligence	jouhou
(mine) level	koudou
(moon's) last quarter	kagen
(moral) backbone	kikotsu
(mortal) life	inochi
(mountain) hut (de: Huette)	hyutte
(mountain) pass	touge
(mountain) ridge	one
(mouth) gag	sarugutsuwa
(mouths of) many people	bankou
(music) performance	ensou
(music) score	gosenfu
(musical) accompaniment	bansou
(musical) bar	shousetsu
(musical) clef	onbukigou
(musical) conductor	shikisha
(musical) instrumentalist	gakkiensousha
(musical) movement	gakushou
(musical) note	onpu
(musical) quartet	shijuusou
(musical) time	hyoushi
(my) elder brother	kakei
(my) husband	otto
(n) process	shorikatei
(natural) selection	touta
(naval) fleet	kantai
(naval) fleet	sendan
(naval) sailor	suihei
(navy) captain	taisa
(neg) never	banban
(neg) never	manman
(neg) nothing	nantomo
(new) place of appointment	funinchi
(news) copy	tane
(newspaper) cameramen	shashinhan
(newspaper) column	kakomikiji
(Noah's) ark	hakobune
(not) a bit	bunrin
(not) all	kanarazushimo
(not) always	kanarazushimo
(not) at all	goumo
(not) at all	ikkou
(not) at all	sarasara
(not) at all	tende
(not) by any means	mappira
(not) entirely	kanarazushimo
(not) for anything	mappira
(not) in the least	bunrin
(not) in the least	goumo
(not) necessarily	kanarazushimo
(not) one	nanihitotsu
(not) particularly	betsuni
(not) yet	imamotte
(number of) months (suf)	kagetsu
(number) base (e.g. 10)	shinsuu
(obs reading) different person	betsunin
(obs reading) headache on one side	hentoutsuu
(obs reading) preponderance	henjuu
(obs) Japanese system of weights & measures	shakkanhou
(obs) personal pronoun	soregashi
(of) Japanese descent	nikkei
(oil painting) canvas	gafu
(oK) aikido	aikidou
(oK) ambush (vs)	mukaeutsu
(oK) at the risk of life	inochigakede
(oK) barn	kyuusha
(oK) feigned innocence or naivete (vs)	nekokaburi
(oK) function (in math)	kansuu
(oK) greenling (fish)	ainame
(oK) humming	hanauta
(oK) ignorance (an)	moumai
(oK) laborer	roudousha
(oK) lodged-bullet wound	moukanjuusou
(oK) manual labor	roudou
(oK) meeting hall	kaikan
(oK) mole (gikun)	mogura
(oK) morally corrupt	midarigamashii
(oK) neck	eri
(oK) nettle	irakusa
(oK) pretty (an)	kirei
(oK) questioning (by the police) (vs)	fushinjinmon
(oK) solemnly	genzento
(oK) song	uta
(oK) stinginess	rinshoku
(oK) street light	gaitou
(oK) sturgeon	chouzame
(ok) such	souiu
(oK) sycophant	gomasuri
(oK) to behead	kiru
(ok) to choose	erabu
(oK) to dam up	sekitomeru
(oK) to fall	kokeru
(oK) to get into	hamaru
(oK) to ooze	shimideru
(oK) to teach	oshieru
(oK) will	iyoku
(oK?) poverty	binbou
(old name for) Japan	yashima
(on TV) "live" broadcast	namachuukei
(on TV) "recorded earlier"	chuukei
(on) the other hand	tahou
(on) the other hand	tamen
(one's parents') home	jikka
(one's) age	yowai
(one's) beloved car	aisha
(one's) family doctor	shujii
(one's) favourite food	daikoubutsu
(one's) interests	ken'eki
(one's) last years	bannen
(one) more	ima
(open market) operation (abbr)	ope
(open) fire	takibi
(oral) history	iware
(Osaka dial) useless	akan
(over) fond parents	oyabaka
(Papal) encyclical	doubuntsuutatsu
(papal) infallibility	fukago
(papal) triple tiara	sanjuuhoukan
(papal) triple tiara	sanjuukan
(paper) stencil	kamigata
(parents') home	seika
(party) Chief Secretary	kanjichou
(performer's) tour	ensei
(period of) one year	ichinenkan
(person) sensitive to heat	atsugari
(photographic) exposure	rokou
(photographic) negative	nega
(photographic) print	inga
(photographic) printing paper	ingashi
(photographic) subject	hishatai
(physical) growth	hatsuiku
(picture) gallery	garou
(pie) crust	gaihi
(pitcher's) control	seikyuu
(pitcher's) control	seikyuuryoku
(plane) landing	kouka
(plant) breeder	ikushuka
(plant) breeding (vs)	ikushu
(plant) bulb	kyuukei
(plant) bulb	kyuukon
(plant) nursery	ikushujo
(playground) slide	suberidai
(please) look	gorannasai
(please) try to do	gorannasai
(pol) an elder brother	sonkei
(pol) home	reidou
(pol) other people	hitosama
(pol) someone's father	sonkun
(pol) someone's letter	sonkan
(pol) someone's letter	sonsho
(police) detective	keiji
(polite for) man	tonobara
(polite for) visitors	tonotachi
(political) parties in and out of power	yoyatou
(political) power	kenryoku
(political) purge (vs)	shukusei
(politically) moderate	onken
(postal) reply card	henshin'youhagaki
(powder) puff	pafu
(power) transformer	hen'atsuki
(power) transformer	toransu
(prefix) governmental	jou
(prefix) upper	uwa
(present) address	genjuusho
(presentation of) proof	kyoshou
(presidential) message	kyousho
(prewar) college	kousen
(principal) reserve currency	kijikutsuuka
(printed) instructions	setsumeisho
(printing) impression	nitsuki
(private) secretary	hisho
(proceeding to) new appointment (vs)	funin
(processed) fish paste	kamaboko
(product of) nature	tensei
(public) baths for men	otokoburo
(public) park	kouen
(questionable) financial connections	kinmyaku
(radio) terminal	tankyoku
(railway) cutting	kiridooshi
(railway) siding	hikikomisen
(rains) to stop	ageru
(raw) material	shizai
(raw) ore	genkou
(re)forestation (vs)	zourin
(received) present	moraimono
(received) present (hum)	itadakimono
(red) snapper	tai
(relative) merits	yuuretsu
(religious) conversion	kie
(religious) faith (vs)	shinkou
(religious) fanaticism (vs)	kyoushin
(religious) festival	sairei
(religious) sect	shuushi
(Republic of) China (i.e. Taiwan)	minkoku
(rice) gruel	kayu
(riding with a) passenger on a motorcycle	tandemu
(riding) spur	hakusha
(river) basin	ryuuiki
(river) Rhine	raingawa
(roads)	hattatsu
(Roman) Catholic	kyuukyouto
(Roman) Catholic Church	koukyoukai
(Roman) Catholicism	koukyou
(Roman) Catholicism	kyuukyou
(Roman) Catholicism	tenshukyou
(Roman) senate	genrouin
(ruling) party in power	yotou
(running) track	torakku
(sake) decanter	choushi
(scarlet) sage	sarubia
(school) catalog	ichiran
(scuba) tank breathing	tankuburi-jingu
(sea) mine	kirai
(sea) mine	suirai
(sea) route	kouro
(seaside) breakers	uranami
(season of) winter	touki
(sect) founder	kaiso
(security) deposit	shikikin
(see konjou)	shoune
(see the) following table(s)	kahyousanshou
(self-)acknowledgment	jinin
(separate) house	ikkodate
(sexual) foreplay	zengi
(sharp) point	tongari
(Shinto) chief priest	guuji
(ship's) officer	untenshi
(ship) deck	kanpan
(ship) deck	kouhan
(shop) not yet open for business	junbichuu
(silk) crepe	chirimen
(ski) slalom (Nor:)	suraro-mu
(skin) boil	nebuto
(skin) texture	kime
(skirt) hem	suso
(slang form of "idaku") `to sleep with'	daku
(small) scale	shikake
(small) table	zen
(social) group	gunshuu
(social) position	chii
(Societe des produits) Nestle	nessuru
(software) instruction	meirei
(soldier's) cooking utensils	hangou
(someone else's) child	okosan
(something) cooked with rice	takikomi
(something) easily manipulated	shouchuu
(something) known to all	shuuchitettei
(specialist) terminology	senmongo
(spiritualistic) medium	fusha
(stage) appearance	shutsujou
(stage) properties	kodougu
(station) platform	joukoujou
(staying) up late at night	yobukai
(stock market) barely holding steady	yowamochiai
(stock market) slump	kahou
(stock market) slump	shitabanare
(stock market) steadiness	shitashiburi
(stone) guardian lion-dogs at Shinto shrine	komainu
(study of) merchandising	shouhingaku
(successive lords) using the same retainers	rekishi
(sudden) change	gyakuten
(suf) as much as you would like to	houdai
(suf) getting away from	yaburi
(suf) member	in
(suffer) deterioration (vs)	akka
(suffix) aboard a ship or vehicle	jou
(suffix) after (rain)	agari
(suffix) every (two days, etc)	agezu
(suffix) my dear (father)	ue
(sugar) beet	satoudaikon
(Sumo) wrestler	sumoutori
(surface of) sea	kaimen
(surrounding) edge	fuchi
(sword) blade	nakami
(tail) end	koutan
(tailor's) cutter	saidanshi
(tailor's) cutting	tachiagari
(Taiwanese film director)	houshaushen
(take no) notice of	ikko
(taking) notes (vs)	hikki
(team) captain	shushou
(technical) specification	shiyou
(telegraph) operator	gishu
(telephone) call forwarding	tensou
(telephone) call forwarding	tensoudenwa
(telephone) exchange	koukankyoku
(telephone) receiver	juwaki
(telephone) subscriber	kanyuusha
(telephone) switchboard	koukandai
(telephone) switchboard	koukanki
(television) audience	shichousha
(telling) a comic story	rakugo
(temple or shrine) rebuilding	saikon
(temple) dance	maihime
(tennis) played with a soft ball	nanshiki
(test) subject	hikensha
(the concept of) sound	onsei
(the so-called) kanji culture	kanjibunka
(the stigma of) the name of "rebel"	zokumei
(the) best	zuiichi
(the) ground	jiban
(the) Reformation	henkaku
(the) whole	zenpan
(theater) packed to capacity	ooiri
(this) firm	tousha
(this) shrine	tousha
(through) a layman's eyes	bongan
(ticket) scalper	dafuya
(tin) can factory	seikankoujou
(to aim at) a weak point	tsukeme
(to cast) pearls before swine	nekonikoban
(to) dictate	kunrin
(tobacco) pipe	kiseru
(Tokugawa-era) employment office	shuusen
(tongue) clicking	totsutotsu
(tooth) pulp	shizui
(top of) head	itadaki
(top of) shoulder	katasaki
(town) market	ichiba
(traditional ordering of) Japanese syllabary	iroha
(traditional) Japanese music	hougaku
(traffic) lane	kubun
(traffic) lane	kuwake
(train) conductor	shashou
(treaty of)friendship, commerce and navigation	yuukoutsuushoukoukai
(tree) bark	juhi
(tree) trunk	kan
(tree) trunk	miki
(trouser) cuff	suso
(truck) load-carrying tray	nidai
(trying) to act like a big-shot (vi)	egawaru
(two year) junior college	tankidaigaku
(two)-seater	nori
(U.S.) Civil War	nanbokusensou
(uk) (at) any time	itsudemo
(uk) (oK) Japanese syllabary (alphabets)	kana
(uk) (shoe) heel	kakato
(uk) a sigh	tameiki
(uk) a very thorough search (for contraband, escaped convict, etc.)	shiramitsubushi
(uk) about	ooyoso
(uk) absurd	mechakucha
(uk) America	amerika
(uk) ankle	kurubushi
(uk) any kind of (neg)	ikanaru
(uk) anyhow	izurenishitemo
(uk) anyhow	tomokaku
(uk) anyhow	tomokakumo
(uk) anyhow	tonikaku
(uk) approximately	kurai
(uk) Arabia	arabia
(uk) arbitrary	izuremo
(uk) Argentina	aruzenchin
(uk) Asia	ajia
(uk) at any rate	izureniseyo
(uk) at once	tachimachi
(uk) be completely empty	monukenokara
(uk) beak	kuchibashi
(uk) beer	biiru
(uk) belly button lint	hesonogoma
(uk) big penis (col)	futomara
(uk) bitch (col)	baita
(uk) blasphemy (vs)	boutoku
(uk) both	futatsunagara
(uk) break into small fragments	koppamijin
(uk) by all means	doushitemo
(uk) carelessness (an)	ukatsu
(uk) carpet	juutan
(uk) causeway	aze
(uk) centimeter	senchimeitoru
(uk) Chinese-style fried rice	chaahan
(uk) cigarettes	tabako
(uk) citrus fruit	yuzu
(uk) coffee	kouhii
(uk) completely	kanpunakimade
(uk) composed	yoyuushakushakutaru
(uk) compulsory (a-no)	iyaounashi
(uk) confused (an)	muchakucha
(uk) considerably	kanari
(uk) corn (US)	toumorokoshi
(uk) cucumber	kyuuri
(uk) diligent (an)	temame
(uk) directly	jikani
(uk) Europe	youroppa
(uk) expressly	wazawaza
(uk) fatty	aburakkoi
(uk) Festival of the Dead (Obon)	obon
(uk) firmly	shikkari
(uk) fondly	horebore
(uk) for amusement	usawoharashini
(uk) forever	itsumademo
(uk) forgetful (a-no)	wasuregachi
(uk) four-legged tray for festive food	ozen
(uk) fresh	sugasugashii
(uk) fried pork and negi on skewers	kushikatsu
(uk) fried vegetables and meat on skewer	kushiage
(uk) fumigation	kunjoushoudoku
(uk) furthermore	nao
(uk) garfish	kisu
(uk) gas	gasu
(uk) gay person	okama
(uk) generous	amai
(uk) getting nervous (vs)	iraira
(uk) good (col)	ii
(uk) good morning (id)	ohayougozaimasu
(uk) good! (id)	eraidesune
(uk) good-bye	sayounara
(uk) grandfather	jiji
(uk) grandfather	jijii
(uk) Great Britain	igirisu
(uk) here	koko
(uk) hit-and-run accident causing personal injury	hikinige
(uk) hot and humid	mushimushi
(uk) how long	donokurai
(uk) how long?	itsumade
(uk) Hungary	hangari
(uk) I'm beaten (id)	maitta
(uk) If that's the case...	sorenara
(uk) if you like (id)	yokattara
(uk) inch	inchi
(uk) Japanese syllabary (alphabets)	kana
(uk) jar	kishimu
(uk) just a minute	chotto
(uk) kilometer	kiromeitoru
(uk) Latin	raten
(uk) law full of loopholes	zaruhou
(uk) leap year	uruudoshi
(uk) long thin white "enokitake" mushroom	enokitake
(uk) lottery	kujibiki
(uk) lukewarm	nurui
(uk) making doubly sure (id)	dameoshi
(uk) mantis	kamakiri
(uk) mantis	tourou
(uk) millimeter	mirimeitoru
(uk) miser	kechinbou
