(AWS)	Afrikaanse Woordelys en Spelreëls
alliances	alliansies
alligator	alligator
alliterate	allitereer
alliteration	alliterasie
allocate	allokeer, toeken
allopathic	allopaties, allopatiese
allopathy	allopatie
allow, leave, let, release, late, tardy	laat
alloy	allooi
alloys	allooie
allright, OK	skaflik, skaflike
alltogether, in toto, in total	altesaam, altesame
alluvial	alluviaal, alluviale
alluvial	alluviale
alluvial soil	alluviale grond
ally (v)	allieer
alm	aalmoes
almanac	almanak
almanacs	almanakke
Almighty	die Almagtige
almond	amandel
almost	amper, ampertjies
almost, nearly	amper
almost, nearly	byna
alms	aalmoes
aloe	aalwee, aalwyn
alone	alleen
alone, only, sole, solitary	alleen
alone, only, sole, solitary	enigste
alpaca	alpakka, alpakkabok
alphabetical	alfabeties, alfabetiese
alpine	alpyns, alpynse
alpine horn	alpehoring
alpinist, mountaineer	alpinis
already	alras, alreeds
already, by now, yet	al
already, by now, yet	alreeds
already, by now, yet	reeds
already, by now, yet, finished, through	klaar
already, yet, all	al
Alsace	Elsas
Alsace, Elsass	die Elsas
Alsace, Elsass	Elsas
Alsatian	Elsasies
Alsatian	Elsasser
also, too	ook
Alt key (alternate)	Alt sleutel
altar piece	altaarstuk
altars	altare
alter, change, turn	verander
altercation	alterkasie
alternate	alterneer
alternating	alternerend, alternerende
alternative	alternatief, alternatiewe
alternative, option, choice, election	keuse
alternatively	alternatiewelik
alternator	alternator
alternator indicator/ guage	alternatormeter
although	alhoewel
altogether, everything, all of it	alles
altruism	altruïsme
altruist	altruïs
altruistic	altruïsties, altruïstiese
altruists	altruïste
aluminium alloy	aluminiumlegering
aluminium ore	aluminiumerts
aluminium oxide	aluminiumokside, aluminiumoksied
aluminium, aluminum	aluminium
aluminium, aluminum (US)	aluminium
alumni association	alumnusvereniging
always	altoos
always	steeds
always, never-ending	alewig, alewigdeur
amalekite	amalekiet
amalgam	amalgaam
amalgamate	amalgameer, amalgamering
amalgamation	amalgamasie
amateur	amateur
amateur athlete	amateuratleet
amateur boxer	amateurbokser
amateur drama	amateurtoneel
amateur dramatic society	amateurgeselskap
amateur painter	amateurskilder
amateur, fancier, dabbler, dilettante	amateur
amateurish	amateuragtig, amateuragtige
amateurism	amateurisme
amateurs	amateurs
amaze	verbaas
amazon river	amasonerivier
amazons	amasones
ambassador	ambassadeur (m), ambassadrise (f)
amber	amber
amber coloured	amberkleurig
amber-coloured	amberkleurig, amberkleurige
ambergris	ambergrys
ambition	ambisie
ambitions	ambisies
