(AWS)	Afrikaanse Woordelys en Spelreëls
planting distance	plantafstand
planting line	plantlyn
planting season	plantseisoen
planting time	planttyd
plants	plante
plasma	plasma
plastic (a)	plasties, plastiese
plastic (n)	plastiek
plastic bag	plastieksak
plastic bucket	plastiekemmer
plastic container	plastiekhouer
plastic cup	plastiekkoppie
plastic object	plastiekvoorwerp
plastic pipe	plastiekpyp
plastic plate	plastiekbord
plasticity	plastisiteit
plateau edge	platorand
platform (railway)	perron
platform, quay, wharf	perron
platform, stage	leiding
platinum	platina
platinum blonde	platinablond
platonic	platonies, platoniese
platonists	platoniste
platypus	platipus
play	speel
playback	terugspeel (radio)
playground	baan
pleasant	aangenaam, aangename
Please?	Asseblief?
plier	tang
plot, domicile, premises, place of business 	perseel
plug (into) (v)	koppel, aanlê
plug in (v)	inprop, insok
plug-in (n)in	proptoestel, (sleng) Plug and Play-program
plumb lead	meetlood
plunger	dompelaar
plunger stick	deurdrukker
plus	plus
pocket	sak
poem	gedig
poet	digter
poetry	poësie
point	punt (.)
point of contact	aanrakingspunt
point on the agenda	agendapunt
point out to be	bleik
poisonous	giftig
Poland	Pole
polar	polêr
Pole	Pool
police	polisie
police car	polisiewa
police dog	polisiehond
police escort	polisiegeleide
police force	polisiemag
police investigation	polisieondersoek
police science	polisiekunde, polisiewetenskap
police spy	polisiespioen
police state	polisiestaat
police station	polisiekantoor
police whistle	polisiefluitjie
police-station	polisiestasie
policeman	poliesman
policies	polisse
policy, politics	beleid
poligamist	poligamis
poligamous	poligaam, poligame
poligamy	poligamie
poliginy	poliginie
polio	polio, poliomiëlitis
polish	politoer
Polish	Pools
political	politiek
political	politieke, polities, politiese
political	polities
politicians	politici, politikusse
politicise	politiseer
politicking	politiekery
politics	politiek
polka	polka
polo	polo
poltergeist	poltergees
polyester	poliëster
polyglot	poliglot
polymerisation	polimerisasie
polynesia	polinesië
polynesian (a)	polinesies, polinesiese
polynesian (n)	polinesiër
polytheism	politeïsme
polytheist	politeïs
polytheistic	politeïsties, politeïstiese
pomace mill	doppemeul
ponder	peins
ponder	pieker
ponderer	peinser
pony	ponie
ponytail	perdestert
poor	armlastig, armoedig
poor white	armblanke
POP (Post Office Protocol)	POP (Postkantoorprotokol), PKP (minder algemeen gebruik)
pop music	popmusic
pop-up	opspring
pope	pous
poplar	populier
popular	gewild
popular	populêr
population	bevolking
porch, veranda	stoep
porosity	poreusheid
porous	poreus
porousness	poreusheid
porridge	pap
port (comp)	poort
port (shipping)	hawe
Port (wine	port
port city	hawestad
portability	oordraaglikheid
porter	kruier
portfolio	portefeulje
portside	bakboord
Portuguese, Portuguese language	Portugees
position	posisie
positive plate	positiewe plaat
positive plate group	positiewe plaatgroep
possibility	moontlikheid
possible	moontlik
post	betrekking
post	pos
post (v)	pos, stuur
post-office, post office	poskantoor
postage	posgeld
postcard	briefkaart
poster	plakkaat
poster (n)	aanplakbiljet
posters	plakkate
postmaster	posmeester
pot-still brandy	potketelbrandewyn
potato chips, potato crisps (us)	aartappelskyfie
potato farm	aartappelboerdery
potato farmer	aartappelboer
potato field	aartappelland
potato harvest	aartappeloes
potato peel	aartappelskil
potato salad	aartappelslaai
potato stew	aartappelbredie
potatoes	aartappels
pottery	aardewerk
pound	pond (£)
pour, scatter, shed	giet
poverty	armoede
povertyq	armoed, armoede
powder, cosmetic powder	poeier
powdery mildew	donsskimmel
power	enjinkrag
power assisted	kraghulp (stuur)
power to attract, charisma	aantrekkingskrag
PPP (Point to Point Protocol)	PPP (Punt-na-punt-protokol)
practical	prakties
prawn	garnaal
prayer	gebed
pre-press	voor-pers
pre-school (adj.)	voorskools(e) (b.nw.)
precaution	voorsorg, voorsorgmaatreël (mv voorsorgmaatreëls)
precursor	voorloper
predecessor in office	ampsvoorganger
predetermined	voorafbepaal(de)
preexistence	voorafbestaan
preferably	liewer
preferably	sommer
prepare	voorberei
prescription, recipe	resep
presence	aanwesigheid
presence	teenwoordigheid
present	hede
present (a)	aanwesig
present (v)	aanbied
presentation	opvoering
presentation	vertoning
presenter	aanbieder
preservative	preserveermiddel
preserve	inmaak
preside	presideer, voorsit
presidency	presidensie
presidency meeting	presidensievergadering
president	president
press	pars
press	pers
press activities	persbedrywighede
press attaché	persattaché
press bureau, press office	persburo
press card	perskaartjie
press conference	perskonferensie
press flat, flatten	platdruk
press gallery	perstribune
press interviews	personderhoude
press release	persverklaring
press report	persberig
press review	persoorsig
press, oppress, squeeze	druk
press, violet	pers
pressing, urgent	dringend
pressure release valve	afblaasklep
pressure relief valve	drukontlasklep
Pretoria	Pretoria
pretreatment	voorbehandeling
pretty	aanskoulik
prevent, be found, be located, find oneself	voorkom
pride	hoogmoed
priest	priester
priestcraft	priesterlis
priesthood (authority)	priesterskap
priesthood (bearers of)	priesterorde
priesthood executive committee	priesterskap uitvoerende komitee
priesthood executive committee meeting	priesterskap uitvoerende komiteevergadering
priesthood holder	houer can die priesterskap
priesthood leader	priesterskapleier
priesthood meeting	priesterskapvergadering
priesthood office	priesteramp
primary school	laerskool
primitive	primitief
principal controls	hoofkontroles (radio)
print	druk
print-ready	persklaar
prisoner	aangehoudene
privacy	privaatheid
private	privaat
private	privaat-
private part	skaamdeel, skaamstreek
privilege	voorreg
probably	waarskynlik
problem solving	probleemoplossing
problem, trouble	probleem
problem-solving skill(s)	probleemoplosvaardigheid (...hede)
product	produk
production	produksie
production site	produksielokaal
profane (v)	ontheilig
professional	professioneel
professor	professor
profile	deursnee
program, programme	program
programme organiser	programorganiseerder
progress (n.)	progressie, vordering
promote	bevorder
promotion	bevordering
promotion	promosie
pronunciation	uitspraak
proof, sign, token	bewys
prophecy	profesie
prophecy, forecast, prognosis	voorspelling
prophesy	profeteer
proportion, rate	verhouding
proportional font	proporsionele font, proporsionele lettertipe
propstand	stutstaander
prospective elder	aspirantouderling
protest	beswaar
protest	protes
protest	protesteer
protocol	protokol
proud	trots
province	provinsie
provisional, temporary, for the time being	tydelik
proxy	volmag
prudish	preuts
prune	(n)pruimedant
prune	(v)	snoei, wegsnoei
pruning shears	snoeiskêr
prussic acid	blousuur
psychiatrist	psigiater
psychologist	sielkundige
puberty	puberteit
pubic hair	skaamhare
public	publiek
public access	algemene toegang, publieke toegang, openbare toegang
Public Domain software	Public Domain-sagteware (uitdeelware)
public prosecutor, district attorney (US)	aanklaer
publisher	uitgewer
pucker (the mouth)	plooi (mond laat trek)
pudding	poeding
puddle	plas
puddles	plasse
pulley	katrol
pulley	katrolwiel (enjin)
pulp	vleis
pulse	polsmaat, polsslag
pump attendant	petroljoggie
pump attendant	pompjoggie
pump nozzle	pompspuitstuk
pungent	skerp
punish (v)	straf
punishment	straf
punishment (n)	straf
pure yeast	reingis
purify	aansuiwer
puritan	puriteins
purple	pers
purplish	persagtige
pursuer	agtervolger
pursuit	agtervolging
push down	afdruk
put away, stow	bêre
put away, stow	wegsteek
put on	aansit
put on	aantrek
put on	omsit
put on	opsit
put on, start, switch on, turn on	aanskakel
put together, constructed	aanmekaargesit
pyramid	piramide
pyramidal	piramidaal, piramidale
pyramids	piramides
Pyrenees	Pireneë
pyrite	piriet
pyromania	piromanie
pyrotechnician	pirotegnikus
pyrotechnics	pirotegniek
quality	gehalte
quality	kwaliteitDS'e) 
quality assurance	gehalteversekering
quarantine hospital, isolation ward	afsonderingshospitaal
quarrel	argument
quarrel	rusie
quarrel, wrangle	rusie maak
quarter of an hour	kwartier
quarter window	kleinvenster
query	navraag
question	navraag
question	vraag
question mark	vraagteken 
question, dispute, quarrel	kwessie
questionable	bedenklik, bedenklike
queue (n)	tou
queue (vi)	staan in die tou, wag, vir 'n beurt wag
queue (vt)	in 'n tou laat staan, in 'n tou plaas
quiet, shy	bedees, bedeesde
quite a few	heelparty, heelwat
quite the contrary, anything but	allesbehalwe
quorum	kworum
quorum of the twelve apostles	kworum van die twaalf apostels
quotation mark	aanhalingsteken
quotations	aanhalings
quote, pet (v)	aanhaal
quoted	aangehaal
rabbi	rabbi
race, run, chase, hunt	jaag
race, run, speed	spoed
racing car	renmotor
rack and pinion	tandstag-en-kleinrat (stuur)
racking tub	tapbalie
radial ply	straallaag
radial tyre	straallaagband
radiator	verkoeler
radiator hose	verkoelerpyp
radiator hose	verkoelerslang
radiator pressure cap	verkoelerdrukprop
radio button	klinkknoppie (tbt), skakelknoppie
radium	radium
rag, scrap	flard
rain	reën
rainbow	reënboog
raisins	rosyntjies
rally	tydren
rally	veldren
rampage	amok
rancid, butyric	galsterig
range	bestek (radio)
rar	rar (kompressieformate)
rare	skaars
rat	rot
rate	tempo (bv baud)
rational (a.)	rasioneel (b.nw.)
rationale (n.)	rasionaal (s.nw.)
ratios	verhoudings
rattle off	afrafel, aframmel
ravine, cliff	afgrond
Re	Re (vir aandag, by e-pos)
re-send (n)	herpos, tweede (derde ens) pos
re-send (v)	weer stuur, weer pos
react, respond	reageer
read	lees
readiness	gereedheid
ready for action	perdfris
realm, state, condition	staat
rear end	agterent
rear entrance	agteringang
rear light	agterlig
rear seat	agterbank
rear seat	agtersitplek
rear seatbelts	agtersitplekgordels
rear suspension unit	agterveringeenheid
rear tyre	agterband
rear view	agteraansig
rear wheel	agterwiel
rear window	agterruit
rear window frame	agterruitraam
rearguard	agterhoede
rearguard action	agterhoedegeveg
rearview mirror	truspieël
rearwards	agterwaarts, agterwaartse
rebate wine	rabatwyn
rebuke	afjak
recall, recollect, remember	onthou
receiving bin	aflaaigat
recent	huidige, onlangs(e)
recent trend(s)	huidige tendens(e)
recently	onlangs
reception	onthaal
receptionist	ontvangsdame
recognise, recognize	herken
recognition (being honoured)	erkenning, 
recognition (being recognised)	herkenning
recollection	herdenking
recommend	aanbeveel
recommend against, discourage	afraai
recommend, register	aanbeveel
recommendable	aanbeveelbaar, aanbeveelbare
recommendations	aanbevelinge, aanbevelings
record changer	platewisselaar
record player	platespeler
record, register	register
record, register	registreer
recorded music	platemusiek
recording instrument	optekeningsinstrument 
recovery vehicle	takelwa (kyk ook tow truck)
rector	prinsipaal
recuperate	aansterk
red	rood
red wine	rooiwyn
redeem	verlos
redeemer	verlosser
redemption	verlossing
redress (n.)	regstelling (s.nw.) 
reduce, lessen	afneem
reduction	afname
reels	spoele
reflection (- and analysis)	nadenke (- en ontleding)
refusal	weiering
refuse, reject	weier
regarding	aangaande
regime, régime	regime
regrettably, unfortunately	jammer
regulation	voorskrif
rejection mark	afkeurmerk
rejection, refusal	bedanking
relate, tell	vertel
related	aanverwant, aanverwante
related	verwant
relation	opsig
relay race	afloswedloop, afloswedstryd
relay team (athletics)	aflosspan
release	verlos
release	vrymaak
release bar	ontkoppelstaaf
release, sack, fire	ontslaan
relevance	relevansie
reliable	betroubaar
relief society	vrouehulpvereniging
religion	godsdiens
relinquishment	afstanddoening
reliquish	afstaan
reload	herlaai
rely on, trust in	vertroue stel in
remain behind	agterbly
remain, stay, stay over, happy, glad	bly
remainder, rest	res
remaining	agterblywend
remark (n)	aanmerking
remark upon	aanmerk
remarks	aanmerkinge, aanmerkings
remediation	remediëring
remember	onthou
remission of sins	vergifnis van sondes
remote control	afstandbediening, afstandbeheer, afstandskakelaar
remotely controlled	afstandbeheerde
removal van	afhaalwa
remove	afhaal
remove a saddle	afsaal
repeat	herhaal
repellent	(n)	afskrikmiddel
repentance	bekering
replacement	plaasvervangend, plaasvervangende, plaasvervanger, plaasvervangster
reply	antwoord
report (v)	aanmeld
reporting	rapportering
repose, rest	rus
representative	verteenwoordiger
representative (adj.)	verteenwoordigend(e) (b.nw.)
reptile	reptiel
republic	republiek
repulsive	aanstootlik, aanstootlike
repulsive	afstootlik, afstootlike
repulsive, repellent (a)	afskrikwekkend, afskrikwekkende
request	aansoek
request	versoek
request (n)	aanvraag
request (v)	aanvra
request form	aansoekvorm
requirement	vereiste, verwagting
requirements	gehaltevereistes
reserve	bespreek
reserve petrol tap	agterpetrolkraantjie
residual sugar	ressuiker
resignation	bedankinge, bedankings
resinous	harpuisagtig
respect	respek
respect	respekteer
respiratory organ	asemhalingsorgaan
responsible	aanspreeklik
responsible	verantwoordelik
restitution	vergoeding
restoration	herstel
results-oriented	resultaatgeoriënteer(de)
resurrection	opstanding
retaining ring	keerring
retire	aftree
retired person, pensioner, retiree	pensioentrekker
retired person, pensioner, retiree	pensionaris
retirement	aftrede, aftreding
retreat (n)	aftog
return	terugkeer, antwoord (op 'n versoek)
return address	terugadres
return spring	terugtrekveer
return spring	truveer
return-ticket	retoerkaartjie
revcounter	toereteller
revealing	onthullende
revelation	openbaring
revelator	openbaarder
reverse, reversed, alien, contrary, opposite	teenoorgesteld
reversing light	trulig
revise	nasien
revolution counter	omwentelingmeter
revolution counter	tagometer
revolution counter	toereteller
revolver	rewolwer
revs	omwentelinge
revs	toere
revulsion	afkeer
revulsion	afsku
rewind	terugrol (radio)
RFC (Request for Comment)	RFC (Versoek vir kommentaar)
rheostat	reostaat
Rhine valley	rynvallei
rhino, rhinoceros	renoster
rice	rys
rich, wealthy, well-off	ryk
ride a horse	perdry
ride, go, travel	ry
right angle	reghoek
right at the back, most bacwards, rearmost	agterste
right-angle, square	reghoekig
right-hand side	regterkant
righteousness	geregtigheid
rim	rim (geselstrant)
rim	velling
rim flange	flens
rim flange	vellingflens
rinsing booth	afspoelkamer
rite	ritus
river	rivier
river ban	krivieroewer
road, route, way	pad
roan antelope	bastergemsbok
roast, toast	braai
rob	roof, beroof
robot	robot
robust	robuust
rock	rots
rocker cover	tuimelaardop
role-player(s)	rolspeler(s), betrokkene(s)
roll	rol, naamlys
roll	rolletjie
roll-on seal	skroefdoppie
roller bearing	rollaer
Roman Catholic Church	Rooms-Katolieke Kerk
Romania, Rumania	Roemenië
Romanian, Rumanian	Roemeen
Romanian, Rumanian	Roemeniër
Rome	Rome
roof	dak
room temperature	kamertemperatuur
root plague	wortelplaag
rootstock	onderstok
rosé wine	rosé wyn
rot off	afvrot
round brackets	hakies, ronde hakies (( ))
round off, finish (v)	afrond
roundness	rondheid
route	roete
RTFM (Read the f...ing Manual)	RTFM (Lees jou v...domde handleiding)
rub	vryf
rub rail	skuurreling
rubber wall	rubberwand
rubberstamp (v)	afstempel
rubbery	rubberagtig
rubbing strip	vryfstrook
rubbish, trash, waste (n)	afval
ruby	robyn
Ruby port	robynport
rude	astrant, astrante
rudeness	astrantheid
rule	heers
ruler	heerser
rulership	heersersmag
rules	reëls
ruling class	heersersklas
ruling family	heersersgeslag
rump, buttocks	sitvlak
run	loop, laat loop ('n program)
run	strek
run down	afhardloop
run over (a)	platgeloop, platgeloopte, platgery
run-off must	afloopmos
runway	aanloopbaan
rural	plattelands
Russia	Rusland
Russian	Rus
Russian	Russies
Russian (a)	Russies
Russian (n) Rus
rust	roes
rust off	afroes
rye	rog
sacrament	sakrament, nagmaal
sacrament meeting	nagmaaldiens
sacrament prayer	nagmaalgebed
sacrifice	offer(ww, s.nw), offerande (s.nw)
saddle	saal
safe, secure	veilig
safety, security	sekerheid
safety, security	veiligheid
sail	seil
sail off	afvaar
Saint Helena	Sint Helena
salad	slaai
salary, wage, wages	salaris
sales area	afsetgebied, afsetmark
salesman	verkoopsman
saloon	sedan
saloons	alonmotor
salt	sout
salted beef	pekelvleis
salvation	verlossing
sanction	sanksie
sand	sand
sandal	sandaal
sap	plantmelk
sardine	sardien
Sardinian	Sardinies
satan	satan
satellite	trawant
satellite control	satellietkontrole (radio)
saucer	piering
saucers	pierings
sauerkraut	suurkool, sauerkraut
sausage	wors
Sauvignon blanc grapes	sauvignon blanc-druiwe
save	verlos, red
save, spare	bespaar
save, spare	spaar
saviour	verlosser, heiland, redder
say goodbye, take leave	afskeid neem
say, tell	sê
scale	skaal
scale model	skaalmodel
scaling down	afskaling
scalpel	skalpel
scan	aftas (radio)
scandal	skandaal
scandalous	skandalig, skandalige
scandinavia	skandinawie
scanner	aftaster
scanner	aftaster (radio)
scanner	skandeerder
scarab beetle	skarabee
scarlet fever	skarlakenkoors
scene	tafereel
scene	toneel
schedule	skedule
schedule, time-table, grate, grid, grill	rooster
school holidays	skoolvakansie
science	wetenskap
scissors	skêr
scope	bereik (s.nw.) 
Scot, Scotsman	Skot
Scotland	Skotland
Scottish	Skots
scrap iron	afvalyster
scratch	krap
screen	skerm
screwtop	skroefprop
script	skrip (mv skripte), skriptaal (eenvoudige programmeertaal, algemeen), skrif scroll
script, writing	skrif
scripture	skrif
scriptures	skrifte
scroll up	na bo rol
scum	skuim
scuttle panel	luikpaneel
seal	rob
seal	seehond, rob 
sealed tank	verseëlde tenk
sealed-beam mounting ring	seëlstraalmonteerring
sealing (temple)	verseëling
sealing of an annointing	verseëling van salwing
search engine	soekmasjien, soekgids, snuffelgids, snuffelmasjien
seat belt	sitplekgordel
second	tweede
second coming of christ	tweede koms van christus
second counselor	tweede raadgewer
second death	tweede dood
second lees	fynmoer
second run-off	tweede afloop
secret	geheim
secretary	sekretaresse
secretary	sekretaris , sekretaresse
secretion	afskeiding
section	afdeling
sector	sektor
secure (n)	veilig, dig
secure (v)	beveilig
security	sekuriteit
security officer	sekuriteitsbeampte
sediment	sediment, afsaksel
sediment chamber	afsakselkamer, neerslagkamer, sedimentkamer
seduce (away from someone else)	afvry
seed	saad
seeds	pitte
seek tuning	soekinstelling (radio)
seer	siener
seldom	selde
selected yeas	tedelgis
selector	kieser (radio)
self, herself, himself, itself	self
self-assessing, self-assessment	selfassessering
self-humiliation, humbling oneself	verootmoediging
semi-colon	kommapunt (,)
semi-elliptic leaf springs	halfelliptiese bladvere (vering)
semi-sweet	halfsoet, semisoet
semi-trailer	voortreiler
send for	ontbied
send, transmit	oorsend
send, transmit	stuur
senior phase	senior fase
sense (v)	aanvoel
sense of adventure	avontuurlus
sense of hearing	gehoorsin, gehoorsintuig
sentence	sin
separate	afsonderlik, afsonderlike
separate	apart, aparte
separator	skeier
seperator	skeier
September	September
Serb	Serwies
Serb	Serwiër
Serbia	Serwië
serial port	seriepoort
serpent, snake	slang
servant	bedienaar, bediende
servants' quarters	bediendekamer
serve	bedien
serve	dien
serve	voorsit
serve, introduce, perform, present	bedien
server	bediener
service	diens
service counter	bedieningstoonbank
service provider	diensverskaffer
service station	diensstasie
service, worship service	erediens
session	sessie
settle	afsak, laat afsak
settle up	afreken
settlement	afrekening
settling agent	afsakmiddel
seven	sewe
seventeen	sewentien
seventh	sewende
seventy	sewentig
several	verskeie
several times, sometimes	somtyds
sew	naaldwerk doen
shade, shadow	skadu
shades	skakeringe, skakerings
shadow	skadu, skaduwee
shake off	afskud
shake, shock	skok
shame	skaamte
shameless	skaamteloos
share	deel, verdeel 
share	porsie
share (n)	aandeel
shareowner, shareholder	aandeelhouer
shareware	spreiware,
shark	haai
shave	skeer
shave off	afskeer
sheep farm	skaapboerdery
sheep farmer	skaapboer
sheep shearer	skaapskeerder
sheepdog	skaaphond
sheepish	skaapagtig
sheepskin	skaapvag
sheet	laken
sheets, records (music)	plate
shelf	rakkie
shepherd	herder
shepherd	skaapherder, skaapwagter
sherrif	balju
sherry	xeres
ship, vessel	skip
Shiraz	shiraz
shirt	hemp
shock absorbers	skokbrekers
shoe	skoen
shoot dead	doodskiet
short circuit	kortsluiting
short pruning	kortsnit
short term	korttermyn
short, brief	kort
shortage of labour	arbeidstekort
shortcut	kortpaadjie
shot (a)	platgeskiet, platgeskiete, platgetrek
shoulder	skouer
shouting distance	gehoorafstand
show window	winkelvenster
shy	skaam
shy bearer	skaamdraer
Siamese	Siamees
side	kant
side panel	kantpaneel, sypaneel
sideburns	bakkebaarde
sign off	uitteken
sign-up costs	aantekenkoste
signature	handtekening
signature	handtekening, naamtekening
significant	betekenisvol
significant (- skills)	betekenisvol(le) (- vaardighede)
silencer	knaldemper
silently	stilswygend
silver	silwer
simplified address	eenvoudige adres, kort adres
sin (n)	sonde
sin (v)	sondig
sin, transgress	oortree
sin, transgression	oortreding
sin, transgression	sonde
since, ever since	sedert
sing	sing
singer	sanger
single dry plate	enkeldroëplaat (koppellaar)
single mode	enkelmodus
single unit	enkel-eenheid
single, unmarried	alleenlopend, alleenlopende
single, unmarried	ongetroud
sit-down dinner	aansit-ete
site	werf
site certificate	werfsertifikaat
situation	situasie
situation comedy	situasiekomedie
six	ses
sixteen	sestien
sixth	sesde
sixty	sestig
size	grootte
skate (v)	skaats
skater	skaatser, skaatsryer
skates	skaatse
skating rink	skaatsbaan
skeleton	geraamte
ski	ski
skid ramp	slofoprit
skill(s)	vaardigheid (...hede)
skin	vel
skirt	rok
skirt	romp
skunk	muishond
slanting trellis	skuinsprieël
slash	skuinsstrepie, soms spesifiek terug-skuinsstrepie
slave	slaaf
slim	verslank
slip away, escape	ontglip
slope down	afhel, afhellende
slot	gleuf
Slovak	Slowaak
Slovak	Slowaaks
Slovak	Slowakies
Slovakia	Slowakye
Slovene, Slovenian	Sloween
Slovenian	Sloweens
slum (n)	agterbuurt
slum conditions	agterbuurtomstandighede
slum housing	agterbuurtbehuising
smal, petite	petieterig, petieterige
smell	ruik
smile	glimlag
smiley	gesiggie, laggertjie, laggerdjie (AWS-spelling)
smokey	rokerig
snail mail	slakpos, slakkepos
snout beatle	kalander, snuitkewer
snow	sneeu
snow white	sneeuwit
snow white	spierwit
so, then, therefore, certainly, indeed, rather	tog
so, then, therefore, consequently, subsequently	dus
soapy	seperig
social	sosiaal
social climber	ampjagter
Social Studies	Sosiale Studies
society	samelewing
sock	sokkie
soetheidsgraad	sweetness
sofa	sofa
soft	sag
soften up, soak	week
software	sagteware, programmatuur (meer formeel)
soil	besoedel
soil	grond
sole	tongvis
sole agent	alleenagent
sole representative	alleenverteenwoordiger
sole ruler	alleenheerser
solera	solera
solid (a)	soliede, stewig
solid particle extracts	vastestofekstrakte
solid particles, a solid	vaste stof
solitude	alleenheid
solo flight	alleenvlug
solution	oplossing
son of god	seun van god
son, boy	seun
soon	binnekort
soon	netnou
soon	nou-nou
sorry	askies
soul	siel
soul, ghost, phantom, fairy, intellect, mind	gees
sound	klank
sound	klink
sound card	klankkaart
sound wine	gesonde wyn
source	oorsprongtaal (van 'n gekompileerde program), bronskrif 
south	suide
South Africa	Suid-Afrika
South African	Suid-Afrikaans
South African	Suid-Afrikaner
South African (a)	Suid-Afrikaans
South African (n)	Suid-Afrikaner
South America	Suid-Amerika
south, southern	suidelik
spade depth	graafdiepte
spade width	graafbreedte
Spain	Spanje
spam (v)	strooi, rommel strooi
Spaniard	Spaniaard
Spanish, Spanish language	Spaans
Spanish, Spanish language	Spaanse taal
spare shoot	spaarloot
spark plug terminal	vonkpropaansluiter, vonkpropterminaal
sparkling wine	vonkelwyn
sparrow	mossie
speak in tongues	spreek in tale
speak, talk	gesels
speak, talk	praat
speakers	luidsprekers (radio)
special late harvest wine	spesiale laatoeswyn
specific	spesifiek
specifications	specifikasies
spectator	toeskouer
speed	snelheid
speed-limit, speed limit	snelheidsgrens
speedometer	spoedmeter
spell (v), take over	aflos
spell checking	speltoets
sperm	sperma
spices	speserye
spicy	pikant
spicy	pittig
spicy	speseryagtig
spike hole	koevoetgat
spiral	spiraal
spirit based	spiritusbasis
spirit of the earth	aardgees
spirit world	geestewêreld, geesteryk
spirits	spiritualieë
spirits mixer	spiritusmengeldrankie
spiritual death	geestelike dood
spit	spuug
spline	rib
split	bars
split-fold	platvou
spoil	bederf
spoiled	bedorwe
spoiler	bederwer
spoilt	bedorwe
sport	sport
sports ground	sportgrond
spread	afgee
spreadsheet	spreiblad, ontledingstaat (clc), sigblad (cmdp)
spring tension	veerspanning (radio)
spring, springtime	lente
spur pruning	kortsnit
spy upon	afloer
squab	rugleuningkussing
square brackets	blokhakies, vierkantige hakies ([])
squash	muurbal
squatter camp	plakkersdorp
squatters	plakkers
squeak	piep
squeaking noise	piepgeluid
squeaky voice	piepstem
squeeze out	pars
squirrel	eekhoring
squirrel	eekhorinkie
SSL (Secure Sockets Layer)	SSL (standvastigesok-laag)
stabiliser bar	stabiliseerstaaf
stack	bondel (versameling protokols)
staff	staf
staff member	personeellid
staff members	personeellede
staff of office	ampstaf
staff reduction, retrenchment, downsizing	personeelvermindering
staff room	personeelkamer
staff shortage	personeelgebrek
stage fright	plankekoors, plankevrees
stage(s)	stadium(s, stadia)
staircase, stairs	trap
stalk	stingel
stand-offish	afsydig, afsydige
standard works	standaardwerke
staples	krammetjies
star, celebrity	ster
start page	beginbladsy
start up (v)	laai, selflaai
start, beginning	aanvang
starter	aansitter
starter motor, start engine, electrical starter	aansitmotor
starting phase	aanvangfase, aanvangsfase
starting position, initial posture	aanvangsposisie
starting salary	aanvangsalaris
startup (n)	laaifunksie
startup capital	aanvangskapitaal
state research body	staatsnavorsingsliggaam
station	stasie
statue	standbeeld
status	aansien
status seeker	aansiensoeker
stave	duig
stay	verblyf
stay on	aanbly
stay pole	anderpaal
steak, beefsteak	kruisskyf
steal	steel
steel	staal
steelbelt	staalversterk (bande)
steering column	stuurkolom
steering damper	stuurdemper
steering lock	stuurslot
steering wheel	stuur, stuurwiel
stem	stingel
stem remover	ontstingelaar
stem, trunk, tree-trunk, tribe	stam
stemmer	ontstingelaar
stemmy	steeltjiesagtig
step	trap(pie)
step off	afstap
stereo cassette deck	stereokassetdek (radio)
stewardship	rentmeesterskap
stick to	aankleef, aanklewe
still	stil
still, yet	nog
stimulant	stimulant
sting (n)	angel
stock certificate	aandeelsertifikaat
stock exchange	aandeelmark, aandelebeurs
stockbroker	aandelemakelaar
stocking	kous
stockmarket	aandelemark
stomach	maag
stop bit	stopbis
storage	berging
storage site	bergingslokaal
story, history	geskiedenis
story, history, narrative, tale	verhaal
straight ahead, straight along	reguit aan
strain	deursyg
strained	gespanne
strained	strak
strategic	strategies
strawberry jam	aarbeikonfyt
strech, wind up	opwen
street	straat
stretcher	draagbaar
strike	staking
string (n)	string
stripper, striptease dancer	ontkleedanseres
stroller	stapper
stroller	voetslaner
stroller	wandelaar
strong	sterk
structure	struktuur
struts	stutte (vering)
sttrawberry jam	aarbeikonfyt
stubble	baardstoppel
stuck to each other	aanmekaargekleef, aanmekaargekoek, aanmekaargevleg
student, female student	damestudent
studio	ateljee
study	studeer
study	studie
stump	stomp (boom-)
sub-editor	persklaarmaker
subject field	onderwerpveld (kyk ook subject line)
subject line	onderwerplyn (kyk ook subject field)
subscription	abonnement
subsidy	subsidie
substring	substring
suburb	voorstad
succeed	slaag
success	sukses
succinic acid	barnsteensuur
succinic acid	suksiensuur
such, such a	so 'n
Sudan	Soedan
sufficient	afdoende
suffix	agtervoegsel
sugar content	suikergehalte
sugar-cane	suikerriet
suite	suite (verskillende programme saam)
sulfur	swael, swawel
sulfur dioxide	swaeldioksied, swaweldioksied
sultan	sultan
summer	somer
summons	dagvaarding
sump	oliebak
sun visor	sonskerm
sun, sunshine	son
Sunday	Sondag
sunday schools	ondagskool
sunroof	sondak
sunroof	sonvenster
supercharger	superlaaier
supermarket	supermark
supplement	aanvulling
supplement (v.)	supplementeer
supplementary budget	aanvullingsbegroting
supply	voorraad
supply (n), offer (n)	aanbod
suppress, choke, quell, suffocate	onderdruk
surf	surf, swem, skaats (blindelingse netwerktoerery)
surgeon	chirurg
surname	agternaam
surname, about, concerning	van
surplus	oorskot
surplus	surplus
surprise	verrassing
suspension	vering
suspicion	agterdog
suspicion	suspisie
suspicious	agterdogtig, agterdogtige
suspicious activities	agterdogtighede
sustain	steun
sustainable	volhoubaar (...bare)
swallow	sluk
swallow (v)	afsluk
swarm	swerm
swear	sweer
sweaty	sweterig
Swede	Sweed
Sweden	Swede
Swedish	Sweeds
sweetness	soetheidsgraad
swerve	afswenk
swimming cap	baaimus
swimming trunks, bathing costume	baaibroek, baaiklere, baaikostuum, baaipak
swimming-bath	swembad
Swiss	Switser
switch	skakelaar
switch off, turn off (a machine)	afskakel
switchboard	skakelbord
switched-on	aangeskakelde
