a	een
Scandinavia	Scandinavië
Scandinavian	Scandinavisch
scar	litteken
scar	wondteken
scarcely, hardly, barely, bad	kwalijk
scare, deter, discourage	afschrikken
scatter	rondstrooien
scatter	strooien
scene	scène
scene	tableau
scenery, landscape	landschap
scent, odour, odor	reuk
schedule, time-table	dienstregeling
schedule, time-table, grill, grid	rooster
Scheldt	Schelde
scheme	blauwdruk
scheme	concept
scheme	ontwerp
schism	kerkscheuring
schism	scheuring
schism	schisma
Schleswig-Holstein	Sleeswijk-Holstein
scholar, student	student
school	leerschool
school	school
science	wetenschap
scientific	wetenschappelijk
scientist	geleerde
scientist	wetenschapper
scorpion	schorpioen
Scot, Scotsman	Schot
Scotland	Schotland
Scotswoman	Schotse
Scottish	Schots
scoundrel	loeder
scoundrel	rotzak
scoundrel	schoelje
scourge, calamity, infestation	plaag
scout, boyscout	padvinder
scout, boyscout	verkenner
scrabble	gekrabbel
scrape	afkrabben
scratch	klauwen
scratch	krabben
scratch	krauwen
scream	gil
scream	krijs
screech-owl	nachtuil
screech-owl	steenuil
screen	scherm
screen	schut
screened	afgeschermd
screw, fuck	neuken
screw, needlework, fuck	naaien
screwdriver	schroevedraaier
script	draaiboek
script	scenario
script	script
scuffle, battle	gevecht
scuffle, quarrel, battle	strijd
sculpture, carve	beeldhouwen
sculpture, carve	uithakken
sculpture, carve	uithouwen
Scylla	Scylla
scythe	zeis
sea	zee
sea-bottom	zeebodem
seagull	meeuw
seagull	zeemeeuw
seal	rob
seal	zeehond
seal	zeerob
seam	naad
seam	voeg
seamless	naadloos
seamstress, needlewoman	naaister
seasickness	zeeziekte
seaside, coast	kustlijn
seaside, coast	zeekust
season, flavor	op smaak brengen
season, flavor, spice	kruiden
seat	zetel
seat, spectacles, glasses	bril
seaweed, alga	alge
seaweed, alga	wier
seaweed, alga	zeewier
second	tweede
secondary, accessory	bijkomstig
secondhand	tweedehands
secret	confidentie
secretary	secretaresse
secrete	uitscheiden
sect	sekte
section, pigeonhole, compartment, speciality	vak
sector	sector
secure, assent, corroborate, fasten, confirm	bevestigen
secure, fasten	fixeren
security, pledge	borgstelling
security, pledge	onderpand
seduce, entice	verleiden
seduce, entice	verlokken
see, encounter	ontmoeten
see, find, encounter	aantreffen
seek	uitkijken naar
seek	uitzien naar
seem	overkomen
seem, resemble	lijken
seem, shine	schijnen
seemingly	in schijn
seemingly	naar het schijnt
seemly, becoming, appropriate	gepast
seldom	zelden
self-assurance, aplomb	aplomb
self-assurance, aplomb	zelfbewustheid
self-assured, confident	zelfbewust
self-conscious, abashed, shy	bedeesd
self-conscious, abashed, shy	timide
self-evident	vanzelfsprekend
selfless, devoted	gehecht
selflessly, devotedly	met overgave
semantics	betekenisleer
semantics	semantiek
Semite	Semiet
Semitic	Semitisch
send, transmit	opsturen
send, transmit	sturen
sender	afzender
sender	verzender
Senegal	Senegal
Senegalese	Senegalees
sensation	sensatie
sensation, beef	klapstuk
sensational	geruchtmakend
sensational	sensationeel
sense	betekenis
sensitive, impressible, delicate, refined	gevoelig
sensuous, sensual	sensueel
sensuous, sensual	zinnelijk
sentence	frase
sentence	volzin
sentiment	gevoeligheid
sentiment	sentiment
sentiment, feeling	gevoel
sentimental	sentimenteel
sentry	schildwacht
sentry	wacht
Seoul	Seoel
separate, apart, particular, special	afgezonderd
separation, partition	clausuur
separation, partition	schifting
separation, partition, secretion, breakaway	afscheiding
sepia	sepia
September	herfstmaand
September	september
septic, infected	bederf veroorzakend
Serb	Servisch
Serbia	Servië
serenade	serenade
serene, untroubled	onbezorgd
serf	horige
serf	lijfeigene
serfdom, servitude	herendienst
serfdom, servitude	lijfeigenschap
sergeant	sergeant
serial	feuilleton
serial	vervolgverhaal
series	ris
series	serie
series, rosary	reeks
serious, earnest, important	ernstig
serious, important	belangrijk
serious, very, quite, important	erg
sermon	kanselrede
sermon	preek
sermon	sermoen
serpent, snake	slang
serum	bloedwei
serum	serum
serum, meadow	wei
servant, maid	dienares
servant, maid	dienstmeisje
serve	serveren
serve	voorleggen
server	server
service	dienst
service	godsdienstoefening
service, cult	eredienst
session	sessie
session	zittingsperiode
set, apparatus, device	apparaat
Seth	Seth
setting	montuur
setting	vatting
seven	zeven
seventeen	zeventien
seventh	zevende
seventy	zeventig
several	diverse
several	verscheidene
severe, pub, buffet, strict	bar
sew	aannaaien
sew	vastnaaien
sew, start, fan, fur, sharpen	aanzetten
sewer	cloaca
sewer	riool
sewer	zinkput
sewing-basket, work-basket	naaimandje
sewing-box	naaidoos
sewing-class	naaicursus
sewing-machine	naaimachine
sewing-things	naaigerei
sewing-thread	naaigaren
sex	kunne
sex	sekse
sex	sexe
sexual, generative	generatief
Seychelles	Seychellen
Sha'ban	sa'bân
shack, barrack, shanty, barn	barak
shack, shanty, stand, barrack, barn	schuur
shackle, fetter	ketenen
shade, nuance, tint	schakering
shaft	mijnschacht
shaggy, hairy	ruig
shaggy, hairy, untidy, bristly	ruigharig
shah	sjah
shake, jolt, jerk, shock	schokken
shall	zullen
shallowly	vluchtig
shame	foei
shameful	schandelijk
shameless	bokkig
shampoo	het haar wassen
shamrock, clover	klaver
Shanghai	Sjanghai
shanty, barrack, shack, barn, stand	keet
shanty, shack, barrack, stand, barn	loods
shape, develop, form	formeren
share	aandeel
share-capital	aandelenkapitaal
shareholder	aandeelhouder
shareholdership	aandeelhouderschap
shark	haai
sharp, abrasive, lurid	bijtend
sharp, intensive, lurid, intense, abrasive	fel
sharp-edged, angular	kantig
sharpen	scherpen
sharpen	slijpen
sharpness	felheid
sharpness	guurheid
sharpness	schelheid
shatter, smash	intrappen
shatter, smash	verbrijzelen
shave	afscheren
shaving-brush	scheerkwast
shaving-brush	zeepkwast
shawl	bouffante
shawl	halsdoek
shawl	sjaal
she, its, her, hair, hairs, their	haar
shear, clip	knippen
shear, prune, clip	snoeien
shed, penthouse	luifel
sheep	schaap
sheikh, sheik	sjeik
shelf	schap
shelf, plank	plank
shell, shield, sign-board, carapace	schild
shelter, bunker	bunker
shelter, bunker	kazemat
shepherd	herder
sheriff	landrechter
sheriff	sheriff
sherry	sherry
sherry	xeres
shield, sign-board	bordje
shield, sign-board	uithangbord
shift	verschuiving
shilling	shilling
shine	blinken
shine, glaze	glanzen
shingle	dakplankje
Shintoism	shintoïsme
ship	afzenden
ship	expediëren
ship, dispatch	verzenden
shipwreck	schipbreuk
shirt	overhemd
shiver, quiver, tremble	beven
shock	opschudden
shock	schudden
shock-absorber	schokbreker
shoe	schoen
shoe	schoen
shoe-horn, shoe-lift	schoenhoorn
shoe-horn, shoe-lift	schoenlepel
shoe-lace	nestel
shoe-lace	rijgveter
shoe-lace	veter
shoemaker	schoenmaker
shoes	schoenen
shogun	sjogoen
shoo	aandrijven
shoo	opjagen
shoot	paffen
shoot	schieten
shoot	vuren
shopkeeper	neringdoende
shopkeeper	winkelier
shore, edge	oever
short-lived, brief, momentary	kortstondig
short-sighted, near-sighted	kippig
short-sighted, near-sighted	kortzichtig
shortage, shortcoming	gemis
shortcoming, shortage	euvel
shortcoming, shortage, poverty, vice	gebrek
shorten, abbreviate	afkorten
shorten, abbreviate	bekorten
shorthand	steno
shorts	kniebroek
shorts	korte broek
shorts, trousers, swamp, pants, marsh	broek
should, must	dienen
should, need, must, require	moeten
shoulder	schouder
shoulderblade	schouderblad
shout	joelen
shout	roepen
shout	schreeuwen
shove	schuiven
shovel, brag, boast	opscheppen
shovel, create	scheppen
show, manifest	laten blijken
show, manifest	manifesteren
showcase	vitrine
shower	douchen
shower	een douche nemen
showerhead	douchekop
showerstall	douchehokje
shrapnel	granaatkartets
shrapnel	shrapnel
shrew	feeks
shrew	furie
shrew	haaibaai
shrew	helleveeg
shrewd	sluw
shrill, sharp-toned, tard, snappy	bits
shrill, snappy, sharp-toned, tard	snibbig
shrink	ineenkrimpen
shrink	ineenkronkelen
Shrove-Tuesday	Vastenavond
shrubbery	bosjes
shrubbery	struikgewas
shrug	de schouders ophalen
shut, close	sluiten
shutter, porthole	luik
shy, abashed, self-conscious	bevangen
shy, self-conscious, abashed	blo
Siamese	Siamees
Siberia	Siberië
Siberian	Siberisch
sibling, brother	broeder
sibling, sister	zuster
Sicilian	Siciliaans
Sicily	Sicilië
sickle	sikkel
sickle	zicht
side, incidental	bij-
side, incidental	minder belangrijk
side-issue	bijkomstigheid
side-issue	bijwerk
side-way, by-way	zijweg
sideboard, closet, cupboard	kast
sideshow, sideissue	bijzaak
sideshow, sideissue	zijkant
sidewalk	stoep
sidewalk	trottoir
sidewalk	voetpad
siege	beleg
siege	belegering
sieve	zeef
sift	ziften
sift, seven	zeven
sigh, groan	kreunen
sight, gunsight	zoeker
sign, presage, indication, omen, portent	voorteken
signal	een sein geven
signal	seinen
signature	handtekening
signature	ondertekening
significant	betekenisvol
significant	veelbetekenend
signpost	wegwijzer
Sijbrandaburen, Sybrandabuorren	Sijbrandaburen
Sikh	sikh
silence	kalmte
silence	rustigheid
silence	stilte
silent	stilzwijgend
silently, silent	zwijgend
Silesia	Silezië
silhouette	schaduwbeeld
silhouette	silhouet
silk	zijde
sill, threshold	dorpel
sill, threshold	drempel
silliness, vanity	ijdelheid
Silurian	Silurium
silver	zilveren
silver-coloured	zilverkleurig
similar	soortgelijk
similar, analogous	gelijksoortig
simmer	pruttelen
simple, straightforward	eenvoudig
simplify	simplificeren
simplify	vereenvoudigen
simultaneous	eigentijds
simultaneous	gelijktijdig
simultaneous	simultaan
sin, transgress	zondigen
since	sinds
sincere	ongeveinsd
sincere	oprecht
sincere, intimate, cordial, hearty	innig
sincerity	openhartigheid
sincerity	oprechtheid
sing	bezingen
sing	zingen
Singapore	Singapore
Singaporean	Singaporees
singer	zangeres
singing-bird, song-bird	zangvogel
single, unmarried	ongehuwd
singly	in zijn eentje
singly	één per keer
singly, alone, only, solely	alleen
Sinhalese, Singhalese	Sinhalees
sink	aan de grond raken
sink	zinken
Sioux	Sioux
sip	resorberen
sip	slurpen
sister, sibling	zus
sit, incubate	broeden op
site	ligging
sitting-room, living-room	zitkamer
situation, circumstances	stand van zaken
six	zes
six	zes
sixteen	zestien
sixth	zesde
sixtieth	zestigste
sixty	zestig
skate	glijmiddel
skate	schaats
skeleton	gebeente
skeleton	geraamte
skeleton	skelet
skeptic	scepticus
skeptical	sceptisch
skeptical	twijfelzuchtig
sketch	ontwerpen
sketch	schetsen
sketch	uitstippelen
ski	skiën
skid, slip	uitglijden
skim, shear, clip	scheren
skimpy, thin, meager, skinny, slender	sprietig
skin, hide	huid
skin, hide	pels
skin, leaf, hide, sheet	vel
skinny, slender, meager, skimpy, thin	schraal
skirt	vrouwenrok
skull	schedel
sky, heaven	hemel
skyjacker	vliegtuigkaper
skylight	luik
skylight, porthole	patrijspoort
slab, slice	plak
slam, bang	dichtslaan
slander	belasteren
slander	roddelen
slander, gossip	kwaadspreken
slanting, oblique	scheef
slanting, obscene, oblique, sloping	schuin
slap	draai om de oren
slap	lel
slap	oorveeg
slash	afkraken
slate	lei
slaughter, butcher	afslachten
slaughterhouse, abattoir	abattoir
slaughterhouse, abattoir	slachthuis
Slav	Slaaf
slave	slaaf
Slavic	Slavisch
Slavonia	Slavonië
Slavonian	Slavonisch
slay, kill	doodmaken
slay, kill	ombrengen
sleep	maffen
sleep	slapen
sleeping-accomodation, sleeping-place	slaapplaats
sleeping-car	slaaprijtuig
sleeping-car	slaapwagen
sleeve	mouw
slender	dun
slender, skimpy, skinny, meager, thin	mager
slice	filet
slice	moot
slice	snede
slighting	achterstelling
slighting	verwaarlozing
slim	slank
slim	tenger
slim, twig	rank
slime	slib
slip, skid	slippen
slipper	pantoffel
slippery	glad
slippery	glibberig
slippery	ongrijpbaar
slobber, salivate	kwijlen
sloping	aflopend
sloping	glooiend
sloping	hellend
slot	gleuf
slot	sleuf
slot	sponning
sloth	luiaard
sloth, ai	ai
Slovak	Slowaaks
Slovakia	Slowakije
Slovene	Sloveen
Slovene	Sloveniër
Slovenian	Sloveens
slow, slowly, leasurely	langzaam
slowly, gently, leasurely, carefully	zachtjes
slug	naaktslak
slug, snail	slak
slum	achterbuurt
slumber, nap	sluimeren
smack	smakken
small, little, diminutive	karig
smallpox	pokken
smash, shatter	vermorzelen
smear, anoint	besmeren
smear, anoint	smeren
smile	glimlachen
smirch	schande
smirch, blot	smet
smith	ijzersmid
smith	smid
smoke	roken
smoke	smoken
smoked	gerookt
smokers	rookcoupé
smooth, equal, even, equally	gelijk
smooth, even	effen
smooth, even	vlak
smuggle	smokkelen
smuggler	sluikhandelaar
smuggler	smokkelaar
snack, lunch	lunch
snail	huisjesslak
snare	arglist
snare	hinderlaag
sneer	ginnegappen
sneer	grijnslachen
sneer	spotlachen
sneeze	niesen
sneeze	niezen
sneeze	proesten
snifter, dram, nip, peg, snorter	aperitief
snifter, nip, peg, dram, snorter	borrel
snob	snob
snobbish	snobistisch
snore	knorren
snore	ronken
snore	snorken
snore	snurken
snow	sneeuwen
snowflake	sneeuwvlok
snowman	sneeuwpop
snowy	besneeuwd
snub	afsnauwen
snuffle	snuffelen
soak	in de week zetten
soak	weekmaken
soak	weken
soap	zeep
sob	snikken
soccer, football	voetbal
social	maatschappelijk
social	sociaal
socialism	socialisme
socialist	socialist
society, club	sociëteit
sociologist	socioloog
sociology	maatschappijleer
sociology	sociologie
sock	sok
sofa	canapé
Sofia	Sofia
soft, gentle, mild	zacht
soft, sweet, gentle	zoet
softness, mellowness	malsheid
softness, mellowness	weekheid
soil	aarde
soil	fond
soil, bottom, hull, ground	bodem
soiled, dirty, foul, unclean, filthy	smerig
soiled, filthy, foul, dirty, unclean	vuil
solder	soldeer
solder	soldeersel
soldier	soldaat
sole, ankle, only, solitary, mere	enkel
solid	deugdelijk
solid	gedegen
solid, energetic, brave, gallant	flink
solidarity	gemeenschapszin
solidarity	saamhorigheid
soliloquy, monologue	alleenspraak
soliloquy, monologue	monoloog
solitary, mere, sole, alone	louter
solo	solo
soloist	solist
solution	oplossing
Somali, Somalian	Somalisch
Somalia	Somaliland
Somalia	Somalië
somber	mistroostig
somber, desolate, gloomy, dark	somber
some	een beetje
some	een weinig
some	enigszins
somebody, anybody, any, someone	een of andere
somehow	op de een of andere manier
someone, any, anybody, somebody	een of ander
someones	iemands
something, anything	iets
somewhere, anywhere	ergens
somewhere, anywhere	hier of daar
son	zoon
sonata	sonate
song	gezang
song	zang
songbook	gezangboek
songbook	gezangbundel
songbook	zangboek
sonorous, sonourous	stemhebbend
sonourous, sonorous	klankrijk
soon	alras
soon	dra
soot	roet
sophisticated	geraffineerd
soprano	sopraan
sorcerer, enchanter, wizard, warlock	tovenaar
sorcerer, wizard, enchanter, warlock	duivelskunstenaar
sorrow	droefheid
sorrow, sadness	bedroefdheid
sort, trap, battle, blow, scuffle	slag
Sotho	Sotho
Sotho	Sotho-taal
soul	gemoed
soul	ziel
sound	overgaan
sound, peal	kleppen
sound, rivet	klinken
sound, shall, go, travel	gaan
soup	soep
source	bron
source	kwel
source	welput
southern, south	zuidelijk
souvenir, keepsake, memento	gedenkschrift
sovereign	soeverein
sovereign, sovereign	oppermachtig
Soviet	sovjet-
sow, disseminate	uitzaaien
space, room	speling
spaceman, astronaut	ruimtevaarder
spacious, vast, wide	ruim
spade	graven
spade	spitten
spade	woelen
spades	pek
spades	prik
spades	stoot
Spain	Spanje
Spaniard	Spanjaard
Spanish	Spaans
spanner	moersleutel
spanner	schroefsleutel
spare, indulge	ontzien
spare, indulge	sparen
spark	sprank
spark	vonk
sparkling, effervescent	schuimend
sparrow	mus
Sparta	Sparta
spawn	kikkerdril
spawn	kuit
spawn	viskuit
speak, talk	spreken
specialist	deskundige
specialist	expert
specialist	kenner
speciality, pigeonhole, detachment, compartment	afdeling
speciality, section, compartment, pigeonhole	branche
specially, mainly, chiefly, especially	inzonderheid
species, sort	soort
specific	soortelijk
specific	specifiek
specify	specificeren
specimen, sample	specimen
spectacle	kijkspel
spectacle	schouwspel
spectacle	spektakel
spectator	toeschouwer
speech	oratie
speech	rede
speech	redevoering
speech	speech
speechless, dumb, mute	sprakeloos
speechless, dumb, mute	stom
speed	radheid
speed	snelheid
speed	spoed
speed-limit	snelheidsgrens
spell	spellen
spend	besteden
spend, devote, dedicate	spenderen
sperm	sperma
sphere, globe, ball-bearing	kloot
spider	spinnekop
spider, spine	spin
spiderweb	rag
spiderweb	spinneweb
spiderweb	spinrag
spiderweb	web
spill	morsen
spin	spinnen
spinach	spinazie
spine	ruggegraat
spine	wervelkolom
spinning-wheel	spinnewiel
spiral	spiraal
spiritualism	spiritisme
spit	rochelen
spit	spuwen
spittoon, cuspidor	kwispedoor
spittoon, cuspidor	spuugbak
spittoon, cuspidor	spuwbak
splash, lap, plash	kabbelen
splash, lap, plash	klapperen
splender, pomp	praal
splinter	splinter
split	doorklieven
split	klieven
split	kloven
split, burst	splijten
spoil, injure	havenen
sponge	afsponzen
spongy	sponsachtig
spongy	sponzig
spontaneous	spontaan
spool, bobbin, coil	bobine
spool, coil, bobbin	klos
spoon	pollepel
sporadic	dungezaaid
sporadic	sporadisch
sport	sport
sportsman	sportman
sportsman	sportsman
spot, location	lokaliteit
spot, location, place	oord
spouse, wife	echtgenote
spread	verbreiden
spring	ontspringen
spring	opborrelen
spring	opwellen
springtime	lente
springtime	voorjaar
sprout	ontluiken
sprout	ontspruiten
sprout	uitkomen
spur	de sporen geven
spur, excite	prikkelen
spurt, gush	opspatten
spy	beloeren
spy	bespieden
spy	spieden
squad	politiepatrouille
square	vierkant
squat, crouch, cower	hurken
squeeze, oppress	drukken
squeeze, oppress	knellen
squint	loensen
squint	scheelkijken
squint	scheelzien
squire	chaperonneren
squirrel	eekhoorn
squirt	spuiten
squirt	uitspuiten
squirt, irrigate	sproeien
St.	St.
stab, sting	pikken
stab, sting	prikken
stable, firm	gevestigd
stack, accumulate, amass, heap	ophopen
stadium	etappe
stadium	overnachtingsplaats
stadium	stadie
staff, baton, cane	staf
stag	mannetjeshert
stage-manager	regisseur
stage-manager	spelleider
stagnate	stagneren
stagnate	stilstaan
stain	bekladden
stain	bezoedelen
stain	smetten
stair, rung	opstap
stair, rung	opstapje
stair, rung	treeplank
staircase, stairs	opgang
stairs, grade, staircase, degree	trap
stake, stanchion	deurpost
stale	adellijk
stale	goor
stale	gortig
stale, moldy, mouldy, musty	muf
stall	box
stammer, stutter	stamelen
stamp	muntstempel
stamped, post-paid	portvrij
stanchion, rod, stake	paal
stanchion, stake, mail	post
stanchion, stake, style	stijl
stand	kraam
stand, cottage	huisje
standard, norm	standaardmaat
star	ster
starboard	stuurboord
stare, gaze, peer	aanstaren
stare, peer, gaze	staren
starling	spreeuw
start	aanzetten tot
start	activeren
starter	aanzetschakelaar
starter	starter
startled	geschrokken
startling	ontstellend
state, assert	beweren
statement	aangifte
statement, proclamation, declaration	declaratie
statement, pronunciation, decision, verdict	uitspraak
station	station
station	stationsgebouw
station-master	stationschef
statistics	statistiek
statue	standbeeld
stature	gestalte
stature	lichaamsbouw
statute, by-laws	statuut
steal	sluipen
stealthily	sluiks
stealthily	steelsgewijs
stealthily	tersluiks
steam, vapor, fog, mist, vapour	damp
steam, vapor, vapour	stoom
steam-boiler, boiler	stoomketel
steamship	stoomboot
steel	staal
steep, abrupt	steil
steer, direct, guide	dirigeren
steering-wheel, joystick	stuurtoestel
stem, tree-trunk, trunk	boomstam
stench	stank
stencil, templet, template, pattern, cartridge	patroon
stenography	snelschrift
stenography, shorthand	stenografie
stenotypist	stenotypiste
step-father, stepfather	stiefvader
stepmother, step-mother	stiefmoeder
steppe	steppe
sterile	kiemvrij
sterile	onvruchtbaar
sterile	steriel
sterilize	steriliseren
stern, poop, poopdeck	spiegel
stern, poopdeck, poop	achtersteven
stevedore	stouwer
stevedore	stuwadoor
stew, goulash	goulash
steward, superintendant	meier
steward, superintendant, checker, controller	opzichter
stewardess	stewardess
stewardship	rentmeesterschap
stick	aanhangen
stick	kleven
stick	vastkleven
sticker	sluitzegel
sticker	sticker
sticky	kleverig
sticky	plakkerig
stiff, ceremonious, measured, formal, solemn	plechtig
stiff, formal, measured	afgemeten
stiff, formal, measured	ceremonieel
stimulate, provoke, rouse	irriteren
sting, stab	priemen
sting, stab, insert, enter	steken
stingray	rog
stingy, miserly, avaricious	hebzuchtig
stipulate	als voorwaarde stellen
stipulate	bedingen
stir, move	bewegen
stock	opslaan
Stockholm	Stockholm
stocking	kous
stoical, stoic	stoïcijns
stoical, stoic	stoïsch
stoke	stoken
stoke	verwarmen
stomach	maag
stone-dead	morsdood
stool	taboeret
stoop	hellen
stoop	overhellen
stoop, peal, expire	aflopen
stop, stay	logeren
stopper	plug
stopper	stekker
stopper	stop
stopper, clod, lump, chunk	prop
stork	ooievaar
story	verhaal
story, storey, floor	verdieping
stout	corpulent
stout	gezet
stout	zwaarlijvig
stove, heater, kiln, furnace, oven	kachel
stow	opbergen
stow, surround, imply	insluiten
straight	live
straight	rechtstreeks
straightedge, straight-edge, ruler	liniaal
strained	geforceerd
strained	gespannen
strait	zeeëngte
strait, canal, channel	kanaal
strand	aan de grond lopen
strand	stranden
strange	onwennig
strange, curious, peculiar, quaint	vreemd
stranger	onbekende
stranger	vreemde
stranger	vreemdeling
strangle, choke	choken
Strassburg, Strasbourg, Strassbourg	Straatsburg
strategic	krijgskundig
strategic	strategisch
strategy	krijgskunde
strategy	strategie
straw	stro
strawberry	aardbei
streak	haal
streak	schrap
streak	schreef
streak	streep
stream	loop
stream	stroming
streamlined	gestroomlijnd
strech	nauwer aanhalen
strech	spannen
strech, excite	opwinden
street, strait	straat
street-corner	straathoek
streetcar, tram	tram
strength, quantity, fortification	sterkte
stress-mark	klemtoonteken
stretcher	brancard
strict, severe	duchtig
stride, step, tread, stalk, pace	schrijden
strike, knock, hit	slaan
striking	geprononceerd
striking	raak
striking, correct, precise, true	juist
striking, witty, lively	snedig
string, cord	stemband
string, cord, rope	koorde
stringent, rigorous	strikt
stringent, strict, severe, tight, rigorous	streng
strip, binding	strook
stroke, fondle, caress, chuck	aaien
stroll	tippel
stroll	wandelen
stroll	wandeling
stroller	wandelaar
strong	fiks
strong	geducht
strong, energetic	krachtig
strong-box	brandkast
strong-box, safe	safe
strop	scheerriem
structure	samenstelling
structure, building	constructie
structure, building, culture	bouw
stub, cigarette-end, cigar-stub, cigar-end	peukje
stubborn, obstinate	halsstarrig
stubborn, obstinate	hardnekkig
stubborn, obstinate	koppig
studio	studio
study	studie
stuff, things	spullen
stuffing	opvulsel
stuffing	vulling
stuffing	vulsel
stumble	struikelen
stupid, dull, cathedral, foolish	dom
stupid, innocent, naif, guiltless, naïve, dull	onnozel
sturdy, stable, firm, robust	hecht
stutter, stammer	hakkelen
stutter, stammer	stotteren
sty, pen	hok
stylus	etsnaald
stylus	griffel
stylus	schrijfstift
Styria	Stiermarken
Styx	Styx
subdue, subjugate, submit	knechten
subject	subject
subject, object, theme	onderwerp
subjective	subjectief
subjugate, subdue, submit	onderwerpen
subjunction	onderschikkend voegwoord
subjunctive	aanvoegende wijs
subjunctive	conjunctief
subordinate	achterstellen
subscribe	geabonneerd zijn op
subscriber	abonnee
subscription	abonnement
subsequent	nagekomen
subsequently, afterwards	naderhand
subsequently, afterwards, remotely	achteraf
subside, abate	bekoelen
subside, abate	luwen
subsidize	subsidiëren
subsidy	ondersteuning
subsidy	stipendium
subsidy	subsidie
substance	goedje
substance	spul
substance	substantie
substantive, noun	zelfstandig naamwoord
substitute, replace	in de plaats stellen van
substitute, replace	inboeten
substitution, replacement, redemption	aflossing
subterfuge, trickery	foefje
subtle	spitsvondig
subtle	subtiel
subtraction	aftrekking
suburb	voorstad
subversive	ondermijnend
subversive	subversief
subvert, undermine	ondermijnen
subway, underground	metro
succeed	doorkomen
succeed	klaarspelen
succeed	slagen
success, luck, happiness, prosperity	geluk
success, prosperity	welstand
successfully	met goed gevolg
successor	nakomeling
successor	nazaat
successor, child	afstammeling
succumb	bezwijken
such	dergelijke
such	dusdanige
such	zo'n
such	zulk een
suck	lurken
suck	opzuigen
suck	zuigen
suckle	de borst geven
suckle	zogen
Sudan	Soedan
Sudanese	Soedanees
sudden, suddenly	plotseling
suddenly	ineens
suddenly	opeens
sue, prosecute	een proces aanspannen tegen
suet, tallow	reuzel
suffer, bear, carry, wear	dragen
suffice	toereiken
suffice	toereikend zijn
sufficient, enough	voldoende
sufficiently	basta
sufficiently	nogal
sufficiently, enough, sufficient	genoeg
suffocate, quell	smoren
sugar	suiker
sugar-bowl, sugarbowl	suikerpot
sugar-cane	suikerriet
sugar-palm	suikerpalm
sugary, bland	poeslief
suggest, indicate	aanduiden
suggestion	aanbod
suggestion	bod
suggestion	voorslag
suit, outfit	complet
sulfur, sulphur	zwavel
sulphureous, sulphuric, sulfuric	zwavel-
sulphuric, sulfuric, sulphureous	zwavelig
sultan	sultan
sum	bedrag
sum	som
sum	somma
sum	summa
Sumatra	Sumatra
summarize	resumeren
summarize	samenvatten
summer	zomer
summer-house, summerhouse	zomerhuis
summer-house, summerhouse	zomerhuisje
summit, peak, point	piek
summit, peak, spiked, pointed, point	spits
summit, point, peak	top
summon	aanschrijven
summons	assignatie
summons	dagvaarding
summons	exploot
sun-beam, sunbeam	zonnestraal
sun-glasses	zonnebril
Sunday	zondag
sunflower	zonnebloem
sunlight	zonlicht
sunrise	zonsopgang
sunset	zonsondergang
sunshine, sun	zonneschijn
superb, grand, grandiose, magnificent	overweldigend
superficial, shallow	ondiep
superficial, shallow, shallowly	oppervlakkig
superfluous, overflowing	overbodig
superimpose	plaatsen bovenop
superintendant, steward	intendant
superior	opperste
superior	prevalent
superior	superieur
superman	übermensch
supermarket	supermarkt
superscription	opschrift
supersign	accent
supersign	accentteken
supersign	kapje
superstition	bijgeloof
superstitious	bijgelovig
supervise, verify, audit	checken
supervise, verify, audit	controleren
supper	avondeten
supper	avondmaal
supply, arrival, arrivals	aanvoer
support, groan, lean, sustain	steunen
support, lean, sustain	stutten
supporter, adept	adept
supporter, adept	beoefenaar
supporter, adept, member	aanhanger
supporters, party, following, disciples, adherents	leden
suppose	stellen
suppose, deem, believe	menen
supposition, hypothesis	onderstelling
suppress	opkroppen
surely	immers
surface	oppervlak
surface, area	oppervlakte
surgeon	chirurg
surgeon	heelmeester
surgery	chirurgie
surgery	heelkunde
surgery	wondheelkunde
surgical	chirurgisch
Surinam	Suriname
Surinamer	Surinamer
Surinamese	Surinaams
surmise, conjecture, guess	gissen
surname	achternaam
surname	familienaam
surname	van
surpass	overtroeven
surplus	surplus
surprise	betrappen
surprise	snappen
surprise	verrassen
surprising	verrassend
surrender, capitulate	capituleren
surround	omgeven
surround	omringen
surroundings, environs	omstreken
survive	beleven
survive	doorleven
survive	doormaken
susceptibility	ontvankelijkheid
suspect	verdenken
suspenders, braces	bretels
suspicion	achterdocht
suspicion	argwaan
suspicion	wantrouwen
suspicious	achterdochtig
suspicious	argwanend
suspicious	wantrouwig
suture	dichtnaaien
suture	hechten
Swabia	Zwaben
Swahili	Swahili-
swallow	doorslikken
swallow	slikken
swamp, marsh	moeras
swan	zwaan
swap, interchange	inruilen
swap, interchange	ruilen
swarm	krielen
swarm	krioelen
swarm	wemelen
swarm	wriemelen
sway	zwiepen
sway	zwieren
Swazi	Swazi
Swazi	Swazi-taal
Swaziland	Swaziland
swear, cuss, curse, blaspheme	ketteren
sweat	transpireren
sweat	zweten
Swede	Zweed
Sweden	Zweden
Swedish	Zweeds
sweep, drive, access	oprit
sweet	oppassend
sweet-and-sour	zoetzuur
sweet-smelling	zoetgeurend
sweetheart, darling	lieveling
sweetness	beminnelijkheid
sweetness	lieftalligheid
swell	aanzwellen
swelling, puff	poef
swelling, puff	pof
swift, quick, speedy, soon, rapid	spoedig
swiftly, quickly	schielijk
swim	zwemmen
