a	een
apple	appel
apple-tree	appelboom
applicant	aanvrager
applicant	verzoeker
apply, achieve, practice	doorvoeren
apply, practice	aanwenden
appoint	aanstellen
appoint, call	benoemen
appointment	aanstelling
appointment, nomad	benoeming
appraise, estimate	begroten
appraise, estimate, appreciate	waarderen
appraiser	taxateur
appreciate	appreciëren
apprehension, detention, arrest	aanhouding
approach, fly	aanvliegen
appropriately	gevoeglijk
appropriately	op de juiste wijze
approval, acclamation	bijval
approve	billijken
approve	goedkeuren
approve, assent	beamen
approximate	benaderen
approximately	circa
approximately	een stuk of
apricot	abrikoos
April	april
April	grasmaand
apron	boezelaar
apron	schort
apron	sloof
apron	voorschoot
aptitude, predisposition, tendency, talent	aanleg
aptitude, talent	begaafdheid
aptitude, talent	talent
Apulia	Apulië
aquarium	aquarium
Aquarius	Waterman
Arab	Arabier
Arabia	Arabië
Arabian, Arabic	Arabisch
arbitrarily	naar willekeur
arbitrary	arbitrair
arbitrary	eigenmachtig
arbitrary	willekeurig
arbor	prieel
arc, bow	toog
Arcadia	Arcadië
arch-, chief-	aarts-
arch-, main, predominant, principal, chief-	hoofd-
arch-enemy	aartsvijand
arch-enemy	doodsvijand
archaic	archaïsch
archaic	verouderd
archangel	aartsengel
archbishop	aartsbisschop
archbishop	metropoliet
archbishopric	aartsbisdom
archduchy	aartshertogdom
Archeozoic, Archaeozoic	Archeozoïcum
Archimedes	Archimedes
archipelago	archipel
archipelago	eilandengroep
architect	architect
architect	bouwmeester
archive, archives, records, files	archief
Arctic	Arctica
Arctic	Arctis
Arctic	Noordpoolgebied
Ardennes	Ardennen
ardent, ablaze	verzendend
ardent, ablaze, hot	gloeiend
are	are
are	vierkante decameter
area	areaal
area, sphere, region, territory	gebied
arena	arena
arena	kampplaats
arena	piste
Areopagus	Areopagus
Ares	Ares
Argentina	Argentinië
Argentinean, Argentine	Argentijns
argue, dispute	twisten
argue, wrangle, dispute	krakelen
Argus	Argus
Ariadne	Ariadne
aristocrat	aristocraat
Aristotle	Aristoteles
arithmetic	cijferkunst
arithmetic	rekenkunde
arithmetic, figure	cijferen
Arizona	Arizona
arm	bewapenen
arm	wapenen
arm-chair, armchair	armstoel
armchair, arm-chair	zorgenstoel
Armenia	Armenië
Armenian	Armeens
armor, armour	bepantsering
armor, armour	harnas
armour, armor	kuras
armour, armor	pantser
armpit	oksel
army	heerschaar
army	leger
army	legermacht
Arnhem	Arnhem
aroma, scent, flavour, odour, odor	geur
around	om ... heen
around, approximately	ongeveer
around, concerning	omtrent
arouse, awaken, wake	wakker maken
arouse, wake, awaken	opwekken
arrange	aanrichten
arrange	arrangeren
arrange	ordenen
arrangement	maatregel
Arras	Atrecht
arrears	achterstand
arrivals, supply, arrival	bezorging
arrive	aankomen
arrive	arriveren
arrive	belanden
arrogance, presumption, overbearingness	arrogantie
arrogant	aanmatigend
arrogant	arrogant
arrow	pijl
arrow	scheut
art	kunst
arteriosclerosis	aderverkalking
arteriosclerosis	arteriosclerose
artery	arterie
artery	slagader
artichoke	artisjok
article	artikel
article, paragraph, commodity	artikel
articles	artikelen
artificial	gekunsteld
artificial	gemaakt
artificial	gewrongen
artillery	artillerie
artillery	geschut
artist	artiest
artist	kunstenaar
artistic	artistiek
artistic	kunstig
artistic	kunstmatig
Aryan	Arisch
as, when, like, if	als
ascend	opgaan
ascend	opkomen
ascend	rijzen
ascertain	constateren
ascertain	vaststellen
ash-tray	asbak
ash-tray	asla
ashamed	beschaamd
ashen	asgrauw
Asia	Azië
Asiatic, Asian	Aziatisch
asparagus	asperge
aspect	air
aspect	schijn
aspect, exterior	aanblik
aspect, tolerate	aanzien
aspen	esp
aspen	ratelpopulier
asphalt	asfalt
aspire	ambiëren
aspire	dingen naar
aspirin	aspirine
assault, attack, corrode	aantasten
assaulter	aanrander
assemblage, gathering	samenkomst
assemble, congregate, converge, meet	samenkomen
assembler	assembler
assembly	samenscholing
assent	ja zeggen
assessment	belastingaanslag
asset, accession, gain	aanwinst
asset, acquisition	acquisitie
asset, gain, accession	prooi
assets	bedrijvende vorm
assets, active	actief
assets, possession	bezit
assign	dagen
assign	dagvaarden
assign, signify	betekenen
assimilate	assimileren
assimilate	in zich opnemen
Assisi	Assisi
assist, help	assisteren
assist, help	bijstaan
assist, help	helpen
assistant	adjunct
assistent, assistant, helper, aid	assistent
assistent, helper, assistant, aid	helper
associate, pool	aansluiten
associate, pool	zich aaneensluiten
association	associatie
assumingness, arrogance, overbearingness, pretence	aanmatiging
Assumption	Maria-Hemelvaart
Assyria	Assyrië
Assyrian	Assyrisch
asterisk	asterisk
asterisk	sterretje
asthma	aamborstigheid
asthma	astma
asthmatic, wheezy	astmatisch
asthmatic, wheezy	kortademig
astrologer	astroloog
astrologer	sterrenwichelaar
astronaut, spaceman	astronaut
astronomer	astronoom
astronomer	sterrenkundige
astronomy	astronomie
astronomy	sterrenkunde
Asturias	Asturië
astute	pienter
astute	scherpzinnig
astute	schrander
asylum	asiel
asylum	asyl
asylum	toevluchtsoord
at, beside, by	dichtbij
at, beside, by	nabij
atheism	atheïsme
atheism	godloochenarij
Athena, Athene, Athens	Athene
Athenian	Atheens
athlete	atleet
athletic	atletisch
athletics	atletiek
athletics	krachtsport
Atlantean	Atlantisch
Atlantean	van Atlantis
Atlantic	Atlantische Oceaan
Atlantis	Atlantis
atlas	kaartenboek
atmosphere	atmosfeer
atmosphere	dampkring
atom	atoom
atomic	atomair
atomic	atoom-
atrocity, horror, abomination, abhorrence	gruweldaad
attach	aanhechten
attachement	aanhankelijkheid
attachment	aanhechting
attack, assault	aanvallen
attempt, endeavour	moeite doen
attempt, try, endeavour	streven
attend, nurse	verplegen
attend, nurse	verzorgen
attendant	steward
attention	aandacht
attention	attentie
attentive	oplettend
attentive, attentively	aandachtig
attentive, attentively	attent
attentively	met aandacht
attenuate	verzwakken
attest, testify	certificeren
Attic	Attisch
Attica	Attica
attitudinize, pose	zich aanstellen
attitudinizer, fop, poseur, dandy, dude	kwast
attitudinizer, poseur	aansteller
attractiveness, charm, attraction	aantrekkelijkheid
attribute	attribuut
attribute	bijvoeglijke bepaling
aubergine	aubergine
auction	afslag
auction	auctie
auction	veiling
auction	vendu
auction, my	mijn
auctioneer	afslager
auctioneer	veilingmeester
auctioneer	vendumeester
audacious, intrepid, daring, bold	stoutmoedig
audience	auditorium
audience	toehoorders
audience, hearing	gehoor
audio-visual	audiovisueel
auditor	revisor
auditor, inspector	inspecteur
Augeas	Augias
August	augustus
August	oogstmaand
Augustus	Augustus
aunt	tante
aurochs	oeros
Aurora	Aurora
aurora, dawn	aurora
aurora, dawn	morgenrood
Australia	Australië
Australian	Australisch
Austria	Oostenrijk
Austrian	Oostenrijks
author	bedenker
author	schepper
author, writer	auteur
author, writer	schrijver
authorative	autoritair
authorative	gezaghebbend
authority, glamour, prestige, glamor	autoriteit
authorization	machtiging
authorization, mandate	mandaat
authorize	autoriseren
authorize	machtigen
authorize	volmachtigen
autobiography	autobiografie
autobus, mailbox, letterbox, omnibus, drum, hub	bus
automatic	automatisch
automatic	zelfwerkend
automatic, mechanical	werktuiglijk
automobile, motor-car	automobiel
automoton	automaat
autonomous	autonoom
autonomous	zelfbesturend
autumn	herfst-
autumn	najaars-
auxilary	hulp-
available	beschikbaar
available	disponibel
available	liquide
avalanche	lawine
avaricious, miserly, stingy	pinnig
avenge	wraak nemen
avenge	wreken
avenue	dreef
avenue	laan
averse	afkerig
aversion, dislike	antipathie
aversion, dislike	hekel
aviate	vliegen
aviation	aviatiek
aviation	luchvaart
aviation	vliegwezen
aviator	aviateur
aviator	vliegenier
avid, greedy	belust
avid, greedy	gretig
